O*NET-SOC Code,Title,Thinking Creatively Combined,Originality Combined,Fluency of Ideas Combined,Technology Design Combined,"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Combined"
15-1244.00,Network and Computer Systems Administrators,2.6336571428571425,2.096342857142857,2.205357142857143,1.75,1.555
15-1251.00,Computer Programmers,3.7613571428571424,1.9285714285714288,1.9657142857142855,1.595,1.1702857142857144
15-1252.00,Software Developers,3.592642857142857,2.023657142857143,2.1635714285714283,2.2308,1.1261714285714286
15-1253.00,Software Quality Assurance Analysts and Testers,3.0112857142857146,1.8571428571428568,1.8914285714285717,1.6063428571428573,1.0590857142857142
15-1254.00,Web Developers,3.7764285714285712,2.096342857142857,2.1635714285714283,1.51,1.0928
15-1255.01,Video Game Designers,4.565714285714286,2.765714285714286,2.8363428571428573,1.8571428571428568,1.3532142857142857
15-1299.01,Web Administrators,3.582857142857143,1.9285714285714288,1.9449142857142856,1.4435714285714285,1.392857142857143
15-1299.02,Geographic Information Systems Technologists and Technicians,3.132428571428571,1.8057142857142856,1.8057142857142856,1.1734857142857142,1.332542857142857
15-1299.03,Document Management Specialists,2.1622857142857144,1.8571428571428568,1.8571428571428568,1.28,1.1078285714285714
15-1299.05,Information Security Engineers,2.5922285714285715,1.9077714285714285,2.0342857142857143,1.4435714285714285,1.6936
15-1299.08,Computer Systems Engineers/Architects,2.435085714285714,2.524285714285714,2.3192,1.5892857142857142,2.1050714285714287
15-1299.09,Information Technology Project Managers,2.983928571428572,2.044642857142857,2.4522285714285714,1.3008,1.7266857142857144
15-2011.00,Actuaries,2.6246285714285715,1.94,2.1357142857142857,1.1257142857142857,1.0236142857142858
15-2021.00,Mathematicians,4.462142857142857,2.866071428571429,2.866071428571429,1.0549142857142857,1.0278571428571428
15-2031.00,Operations Research Analysts,3.5508571428571427,2.4971428571428573,2.542057142857143,1.12,1.1596857142857142
15-2041.00,Statisticians,3.468571428571429,2.0342857142857143,2.3192,1.0549142857142857,1.0092142857142856
15-2041.01,Biostatisticians,2.7733,2.2471428571428573,2.4971428571428573,1.0885714285714283,1.0305
15-2051.01,Business Intelligence Analysts,2.998357142857143,1.9842857142857144,2.3192,1.077942857142857,1.0029571428571429
15-2051.02,Clinical Data Managers,2.396428571428572,1.9657142857142855,2.06,1.147857142857143,1.1339285714285714
15-2099.01,Bioinformatics Technicians,3.580014285714286,1.9285714285714288,2.125,1.32,1.670057142857143
17-1011.00,"Architects, Except Landscape and Naval",3.7442285714285712,2.821428571428571,2.877142857142857,1.2857142857142856,3.6994857142857143
17-1012.00,Landscape Architects,3.7,2.782857142857143,2.765714285714286,1.1071428571428572,3.6117857142857135
17-1021.00,Cartographers and Photogrammetrists,2.8426571428571425,1.8571428571428568,1.8571428571428568,1.0664285714285715,1.975857142857143
17-1022.00,Surveyors,2.6372714285714283,1.8057142857142856,1.8571428571428568,1.0549142857142857,2.3028571428571425
17-1022.01,Geodetic Surveyors,2.607814285714286,1.7734857142857143,1.9449142857142856,1.147857142857143,2.025828571428572
17-2011.00,Aerospace Engineers,3.908714285714286,2.4008000000000003,2.4285714285714284,2.205357142857143,2.673
17-2021.00,Agricultural Engineers,3.8285714285714287,2.2308,2.3392857142857144,1.75,3.2125000000000004
17-2031.00,Bioengineers and Biomedical Engineers,3.896742857142857,2.6393714285714287,2.571428571428571,2.275,2.2293142857142856
17-2041.00,Chemical Engineers,2.6934857142857145,2.4285714285714284,2.4285714285714284,1.7734857142857143,2.661928571428571
17-2051.00,Civil Engineers,2.7659571428571423,2.2857142857142856,2.571428571428571,1.4464285714285716,3.328085714285714
17-2051.01,Transportation Engineers,2.7764571428571427,2.205357142857143,2.571428571428571,1.6875,2.948885714285714
17-2051.02,Water/Wastewater Engineers,2.8285,2.4522285714285714,2.645714285714285,1.8728571428571428,3.0664
17-2061.00,Computer Hardware Engineers,3.863342857142857,2.4285714285714284,2.2471428571428573,1.6364285714285711,3.1270857142857147
17-2071.00,Electrical Engineers,3.6276142857142855,2.125,2.2857142857142856,1.3571428571428572,3.8211714285714287
17-2072.00,"Electronics Engineers, Except Computer",3.166514285714286,2.36,2.3857142857142857,1.9285714285714288,3.6273
17-2072.01,Radio Frequency Identification Device Specialists,3.769828571428572,1.8914285714285717,2.086428571428572,1.6685714285714286,2.2285714285714286
17-2081.00,Environmental Engineers,2.9550714285714283,2.4971428571428573,2.6185714285714288,1.0664285714285715,3.150142857142857
17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",2.582057142857143,2.105,2.25,1.2514285714285711,1.7371857142857143
17-2111.02,Fire-Prevention and Protection Engineers,2.8915,2.205357142857143,2.3392857142857144,1.8571428571428568,3.260342857142857
17-2112.00,Industrial Engineers,3.230485714285714,2.125,2.1635714285714283,1.3008,2.662428571428572
17-2112.01,Human Factors Engineers and Ergonomists,3.0805,2.4522285714285714,2.748571428571428,2.1750857142857143,1.735357142857143
17-2112.02,Validation Engineers,2.08,1.8914285714285717,1.9449142857142856,1.157142857142857,1.6535714285714285
17-2112.03,Manufacturing Engineers,2.986857142857143,2.542057142857143,2.542057142857143,2.4971428571428573,3.2235428571428573
17-2121.00,Marine Engineers and Naval Architects,2.8427999999999995,2.4522285714285714,2.4714285714285715,1.5357142857142858,2.607142857142857
17-2131.00,Materials Engineers,3.643142857142857,2.36,2.3857142857142857,1.6665142857142858,2.314
17-2141.00,Mechanical Engineers,3.5505142857142857,2.36,2.3857142857142857,2.06,4.050542857142857
17-2141.01,Fuel Cell Engineers,3.161342857142857,2.4285714285714284,2.5907142857142857,1.837942857142857,2.443071428571429
17-2141.02,Automotive Engineers,3.0266285714285712,2.9008000000000003,2.645714285714285,2.1750857142857143,2.6184
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",2.643742857142857,2.3857142857142857,2.571428571428571,1.6171428571428572,2.225914285714285
