O*NET-SOC Code,Title,Analyzing Data or Information Combined,Documenting/Recording Information Combined,E-Mail,"Estimating the Quantifiable Characteristics of Products, Events, or Information Combined",Getting Information Combined,Information Ordering Combined,Interpreting the Meaning of Information for Others Combined,Processing Information Combined,Programming Combined,Working with Computers Combined
13-1074.00,Farm Labor Contractors,1.477085714285714,1.4950714285714286,3.09,1.4333999999999998,1.5721857142857143,1.7385714285714284,1.1323714285714286,1.7122857142857142,1.0271428571428571,1.5302
13-1075.00,Labor Relations Specialists,2.589728571428571,2.122,4.95,1.3409285714285717,3.4150000000000005,2.1492,2.5158571428571426,2.881,1.0089285714285714,2.1484
13-1081.00,Logisticians,2.9039714285714284,2.662171428571429,4.92,2.086428571428572,3.2936,2.662857142857143,2.313542857142857,3.052857142857143,1.22,2.7625
13-1081.01,Logistics Engineers,3.367128571428572,2.325028571428572,4.83,2.5425142857142857,3.4000000000000004,2.7142857142857144,2.777285714285714,3.210514285714285,1.6875,3.187428571428571
13-1081.02,Logistics Analysts,3.508642857142857,2.497328571428572,5.0,1.8539142857142856,3.3618,2.571428571428571,2.812857142857143,3.4197999999999995,1.25,3.1198571428571427
13-1111.00,Management Analysts,3.7297142857142864,3.034785714285714,5.0,2.422,3.896571428571429,2.4522285714285714,3.2742571428571425,3.3805000000000005,1.157142857142857,2.9693000000000005
13-1121.00,"Meeting, Convention, and Event Planners",2.3110857142857144,2.326857142857143,4.88,2.031228571428572,3.2152,2.25,2.4422571428571427,2.8361,1.0206285714285714,2.8277
13-1131.00,Fundraisers,3.0814285714285714,2.5485714285714285,5.0,1.8257142857142856,3.485714285714286,2.205357142857143,2.5042857142857144,2.7344,1.0357142857142856,2.7914000000000003
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",3.3908857142857145,2.5158571428571426,4.95,1.5797714285714286,3.1800571428571427,2.2308,2.4059285714285714,3.135,1.0885714285714283,2.6269
13-1151.00,Training and Development Specialists,2.743428571428572,2.4171,5.0,1.7831,3.3891142857142857,2.0028571428571427,3.0288,2.6243142857142856,1.0535714285714286,2.698057142857143
13-1161.00,Market Research Analysts and Marketing Specialists,4.3588000000000005,2.7466,5.0,2.331714285714286,3.950142857142857,2.596342857142857,3.849,4.0732,1.32,3.2175714285714285
13-1161.01,Search Marketing Strategists,3.5393571428571438,2.1455714285714285,4.91,2.0234571428571426,3.6149714285714287,2.375,2.845714285714286,3.440971428571429,1.5300000000000002,3.095557142857143
13-1199.04,Business Continuity Planners,3.0827142857142857,3.212371428571428,4.96,2.0045,3.585,2.7142857142857144,2.888,3.024528571428572,1.1785714285714286,3.15
13-1199.05,Sustainability Specialists,3.370485714285714,2.5867,5.0,2.2272,3.606714285714285,2.1142857142857143,2.442571428571429,3.1888,1.0442857142857145,2.5771428571428574
13-1199.06,Online Merchants,2.395428571428572,2.4692857142857143,5.0,1.9486,3.100842857142857,1.9842857142857144,1.760057142857143,3.0051142857142854,1.345,3.399914285714286
13-1199.07,Security Management Specialists,3.091428571428571,2.821428571428571,4.95,2.2021428571428574,3.434285714285714,2.645714285714285,2.5535714285714284,3.1,1.289285714285714,2.862142857142857
13-2011.00,Accountants and Auditors,3.329614285714286,3.1114857142857137,4.98,1.862228571428572,3.4467142857142856,2.4522285714285714,2.620342857142857,3.4152857142857145,1.25,3.153785714285714
